param,accuracy,precision,recall,f1
"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.9393939393939394,0.9178459024534449,0.9393939393939394,0.9281005934448916
"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}",0.9424242424242424,0.9211168705377363,0.9424242424242424,0.9313483089480158
"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.3}",0.9446969696969697,0.9238862663814483,0.9446969696969697,0.9339836301926288
"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.9401515151515152,0.9185076341308452,0.9401515151515152,0.9287929083666937
"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2}",0.9401515151515152,0.9189414060376845,0.9401515151515152,0.9291428880600595
"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.3}",0.9393939393939394,0.9177307816020805,0.9393939393939394,0.9280381540082978
"{'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.1}",0.9386363636363636,0.9167646746612332,0.9386363636363636,0.9269314603115851
"{'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.2}",0.9363636363636364,0.914631545298706,0.9363636363636364,0.924777774537989
"{'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.3}",0.9356060606060606,0.9137425533382856,0.9356060606060606,0.9239597349875551
